title,company,location,skills,salary_raw,experience,source,date_scraped
Senior Python Developer,FPT Software,Bac Ninh,"Python, Django, PostgreSQL, Docker, AWS","15,000,000 - 25,000,000 VND",3-5 years,ITviec,2026-07-19
React Frontend Developer,VNG Corporation,Da Nang,"JavaScript, React, TypeScript, Redux, Git","20,000,000 - 35,000,000 VND",2-4 years,ITviec,2026-07-22
IC Design Engineer,Intel Vietnam,Ha Noi,"Verilog, SystemVerilog, Python, C++","15,000,000 - 25,000,000 VND",2-5 years,ITviec,2026-07-08
DevOps Engineer,Grab Vietnam,Ha Noi,"Docker, Kubernetes, AWS, Jenkins, Terraform","15,000,000 - 25,000,000 VND",3-5 years,ITviec,2026-07-22
Java Backend Developer,KMS Technology,Bac Ninh,"Java, Spring Boot, MySQL, Docker, Microservices",Competitive,2-4 years,ITviec,2026-07-08
Data Scientist,Shopee Vietnam,Bac Ninh,"Python, TensorFlow, Pandas, SQL, Machine Learning","8,000,000 - 15,000,000 VND",2-4 years,ITviec,2026-07-22
Embedded Software Engineer,Bosch Vietnam,Ho Chi Minh,"C, C++, RTOS, ARM, Linux","1,500 - 3,000 USD",1-3 years,ITviec,2026-07-28
Full-stack Developer,NashTech Vietnam,Bac Ninh,"JavaScript, Node.js, React, MongoDB, Docker","15,000,000 - 25,000,000 VND",2-4 years,ITviec,2026-07-19
Cloud Solutions Architect,CMC Global,Ho Chi Minh,"AWS, Azure, Terraform, Kubernetes, Python","20,000,000 - 35,000,000 VND",5-7 years,ITviec,2026-07-05
FPGA Design Engineer,Viettel Group,Ho Chi Minh,"Verilog, FPGA, VHDL, C++, Linux","30,000,000 - 50,000,000 VND",2-4 years,ITviec,2026-07-14
Mobile Developer (iOS),TMA Solutions,Ho Chi Minh,"Swift, iOS, Git, REST API, Firebase","1,500 - 3,000 USD",1-3 years,ITviec,2026-07-18
Machine Learning Engineer,VNG Corporation,Bac Ninh,"Python, PyTorch, NLP, Docker, AWS",Competitive,3-5 years,ITviec,2026-07-14
QA Automation Engineer,FPT Software,Da Nang,"Python, Selenium, Java, Git, Agile","35,000,000 - 65,000,000 VND",1-3 years,ITviec,2026-08-01
Blockchain Developer,KMS Technology,Ho Chi Minh,"Solidity, JavaScript, Go, Docker, Web3",Negotiable,2-4 years,ITviec,2026-07-14
Site Reliability Engineer,Grab Vietnam,Ha Noi,"Go, Kubernetes, Docker, AWS, Prometheus",Competitive,3-5 years,ITviec,2026-07-07
