title,company,location,skills,salary_raw,experience,source,date_scraped
Lập trình viên PHP,TMA Solutions,Đà Nẵng,"PHP, Laravel, MySQL, JavaScript, Git",Cạnh tranh,1-2 năm,TopCV,2026-06-14
Kỹ sư AI/ML,FPT Software,Hải Phòng,"Python, TensorFlow, PyTorch, Docker, Linux",12 - 20 triệu VND,2-4 năm,TopCV,2026-05-28
Lập trình viên .NET,CMC Global,Đà Nẵng,".NET, C#, SQL Server, Azure, Git",Thương lượng,1-3 năm,TopCV,2026-05-25
Android Developer,VNG Corporation,Đà Nẵng,"Kotlin, Java, Android SDK, Git, Firebase",Thương lượng,1-3 năm,TopCV,2026-06-01
Kỹ sư hệ thống nhúng,Viettel Group,Hồ Chí Minh,"C, C++, RTOS, ARM, Linux",12 - 20 triệu VND,2-4 năm,TopCV,2026-06-09
Database Administrator,VNPT Technology,Hồ Chí Minh,"MySQL, PostgreSQL, Redis, Linux, Python",Thương lượng,2-4 năm,TopCV,2026-06-10
Network Engineer,VNPT Technology,Hà Nội,"Cisco, Linux, Python, Firewall, TCP/IP",12 - 20 triệu VND,1-3 năm,TopCV,2026-05-26
Kỹ sư thiết kế ASIC,Renesas Vietnam,Bắc Ninh,"Verilog, SystemVerilog, UVM, Python, TCL",Cạnh tranh,3-5 năm,TopCV,2026-06-06
Frontend Developer (Angular),FPT Software,Hồ Chí Minh,"Angular, TypeScript, JavaScript, SCSS, Git",Cạnh tranh,1-3 năm,TopCV,2026-06-08
Tester/QA Engineer,KMS Technology,Hải Phòng,"Selenium, Python, Java, Jira, Agile",Cạnh tranh,1-2 năm,TopCV,2026-06-15
Technical Project Manager,NashTech Vietnam,Hải Phòng,"Agile, Scrum, Jira, Python, SQL",8 - 15 triệu VND,5-7 năm,TopCV,2026-06-06
Kỹ sư bảo mật,CMC Global,Hồ Chí Minh,"Python, Linux, Network Security, AWS, Docker",Cạnh tranh,3-5 năm,TopCV,2026-06-08
SAP Consultant,FPT Software,Đà Nẵng,"SAP, ABAP, SQL, Python, Excel",Thương lượng,2-4 năm,TopCV,2026-06-13
Unity Game Developer,VNG Corporation,Đà Nẵng,"C#, Unity, Git, 3D Modeling, Agile",Cạnh tranh,1-3 năm,TopCV,2026-05-24
Business Analyst,TMA Solutions,Hà Nội,"SQL, Python, Jira, UML, Agile",20 - 35 triệu VND,1-3 năm,TopCV,2026-06-02
